"Species","Individual","Collection","section_thickness_mm","age","sex","body_mass_g","social_group_size","brain_mass_mg","brain_volume_mm3","granular_L_mm3","dysgranular_L_mm3","agranular_L_mm3","FI_L_mm3","total_insula_L_mm3"
"Homo sapiens","H9-88a","UCSD",35,21,"Male",72100,148,1639600,1582600,2356,3321,1518,539,7734
"Homo sapiens","MU-88-65a","Yakovlev-Haleem",35,50,"Male",72100,148,1483000,1431500,1410,2709,1781,562,6463
"Homo sapiens","SN207-84a","UCSD",35,75,"Male",72100,148,1349000,1302100,2246,2971,1342,349,6908
"Homo sapiens","W2-2-70a","Yakovlev-Haleem",35,25,"Male",72100,148,1320000,1274100,1959,3850,973,442,7222
"Homo sapiens","STD-IIA-54a","Yakovlev-Haleem",35,32,"Female",62100,148,1242000,1198800,1398,1950,389,331,4068
"Pan paniscus","Nambob","GAAP",100,NA,"Male",45000,43.4,395000,381270,167,771,484,121,1543
"Pan paniscus","MCZ-2007-52a","GAAP",40,25,"Female",33200,43.4,337000,325290,267,1067,356,86,1775
"Pan paniscus","Zahliaa","UCSD",20,11,"Female",33200,43.4,324000,312740,348,965,213,227,1753
"Pan troglodytes","CA0171b","GAAP",100,39,"Male",49570,47.6,374000,361000,357,753,211,66,1387
"Pan troglodytes","YN01-92a","GAAP",40,40,"Male",49570,47.6,341200,329340,886,757,203,97,1942
"Pan troglodytes","YN00-170a","GAAP",40,45,"Female",40370,47.6,312900,302030,759,601,80,34,1473
"Gorilla gorilla","OON1072b","GAAP",100,25,"Male",169370,15.8,450000,434360,642,793,554,522,2510
"Gorilla gorilla","862094b","GAAP",100,39,"Female",80000,15.8,420000,405410,466,875,479,161,1982
"Gorilla gorilla","439b","GAAP",100,33,"Female",80000,15.8,419000,404440,348,1170,496,166,2180
"Gorilla gorilla","YN82-140a","UCSD",20,20,"Female",80000,15.8,376000,362930,122,957,751,79,1910
"Pongo abelii","M00305b","GAAP",100,17,"Female",35600,NA,358000,345560,266,622,317,0,1204
"Pongo abelii","Thelmab","GAAP",100,25,"Female",35600,NA,333800,322200,171,577,326,39,1112
"Pongo pygmaeus","Sabtub,c","GAAP",100,39,"Female",35600,1.5,376000,362930,NA,NA,NA,NA,NA
"Pongo pygmaeus","Briggsa","UCSD",20,34,"Male",78500,1.5,345000,333010,199,1057,188,60,1505
"Hylobates muelleri","970431a","GAAP",40,19,"Male",5710,3.4,101800,98263,111,286,142,NA,539
"Hylobates lar","YN81-146b","Stephan",20,NA,"Female",5340,3.8,92000,88803,117,131,40,NA,289
"Symphalangus syndactylus","880804a","GAAP",40,33,"Male",11900,4,138700,133880,198,147,71,NA,416
"Cercopithecus kandti","201202a","GAAP",40,NA,"Male",5480,NA,71600,69112,134,391,89,NA,614
"Cercocebus agilis","980820a","GAAP",40,19,"Female",5660,NA,95300,91988,158,116,105,NA,379
"Lophocebus albigena","3407b","Stephan",20,NA,"Male",8250,15.5,110500,106660,171,270,95,NA,536
"Macaca maura","M1005a","GAAP",40,5,"Female",6050,22,83300,80405,181,240,71,NA,492
"Colobus angolensis","M00652a","GAAP",40,18,"Male",9680,8.8,74400,71815,38,152,32,NA,222
"Piliocolobus badius","3477b","Stephan",15,NA,"Female",7050,30.2,75000,72394,72,116,53,NA,241
"Trachypithecus francoisi","51106a","GAAP",40,16,"Male",7700,17.1,102100,98552,249,217,160,NA,625
"Alouatta caraya","890708a","GAAP",40,21,"Male",6420,7.9,55800,53861,89,141,42,NA,272
"Ateles geoffroyi","3371b","Stephan",20,NA,"Male",7780,22.7,106400,102700,100,181,135,NA,416
"Callithrix pygmaea","3289b","Stephan",20,NA,"Male",110,7.9,4200,4005.8,3,7,1,NA,11
"Leontopithecus rosalia","950728a","GAAP",40,11,"Female",598,4.5,12700,12259,4,21,12,NA,37
"Saguinus geoffroyi","900722a","GAAP",40,15,"Male",482,5.2,10500,10135,9,9,6,NA,23
"Saguinus oedipus","3311b","Stephan",20,NA,"Male",418,5.3,9300,8938.2,7,13,6,NA,26
"Cebus albifrons","3317b","Stephan",20,NA,"Male",3180,19.2,79800,77027,108,155,34,NA,297
"Pithecia pithecia","M30709a","GAAP",40,1,"Female",1580,2.6,30000,28958,40,135,104,NA,279
"Avahi laniger","3244b","Stephan",15,NA,"Male",1030,2.5,9600,9256.8,13,18,7,NA,38
"Indri indri","3249b","Stephan",15,NA,"Male",5830,4.3,33700,32481,50,85,33,NA,167
"Varecia variegata","3227b","Stephan",15,NA,"Male",3550,5.4,31500,30405,44,44,12,NA,100
"Perodicticus potto","3259b","Stephan",20,NA,"Male",1250,1,11500,11100,16,10,4,NA,31
"Galagoides demidoff","3275b","Stephan",20,NA,"Male",63,3.5,3300,3185.3,5,5,2,NA,12
"Loris tardigradus","3253b","Stephan",20,NA,"Male",264,3,6900,6612,3,6,3,NA,12
