"Species","Sex","Age","Whole Brain","Neocortex","Hippocampus","Striatum","Thalamus","Cerebellum"
"Gorilla beringei beringei","F",2.5,401.6,182.5,2.4,9,8.2,51.6
NA,"M",27.5,486.7,208.4,3.7,8,10.2,59.5
"Gorilla gorilla gorilla","F",50,490.2,224,3.5,6.3,9.9,64.5
NA,"M",42,564.3,228.8,4.3,7.3,11,78
"Pongo pygmaeus","F",17,311.2,149.8,2,5.5,6.3,46.4
NA,"F",23,394.1,170.1,3.1,9.6,9.7,50.2
NA,"F",33,298.6,138.6,2.2,5.6,6.8,36.2
NA,"M",11,374.1,170.8,2.6,9,8.5,46.2
NA,"M",24,344.7,144.2,2.5,7.5,7.5,46.4
NA,"M",37,370.3,174.3,3,6.8,7.2,43.8
"Pan troglodytes","F",13,299,142.8,2.7,6.8,6.7,42
NA,"F",15,262,108,2,5.8,7.2,43.8
NA,"F",18,343.9,154.7,2.5,6.3,7.6,44.4
NA,"F",19,229.2,142.1,2.5,4.6,5.9,35.6
NA,"F",25,354.3,166.6,3.1,7.9,6.8,44.2
NA,"F",27,314.3,154,3.1,6.4,7.4,45.2
NA,"F",33,373.5,165.6,3.1,7.9,7.7,50.2
NA,"F",35,348.1,184.8,2.9,6.2,9,50.6
NA,"F",36,355.9,166.6,2.3,6.6,6.5,48
NA,"F",37,297.7,129.5,2.5,5.5,6.4,40
NA,"F",38,370.7,174.3,3.3,6.7,7.7,42.8
NA,"F",40,345.3,155.4,3.6,7.5,6.8,43.6
NA,"F",41,327.8,152.6,2.9,6.8,9.1,47.8
NA,"F",42,324.2,149.1,3.4,5.8,7.4,48.8
NA,"F",44,332.9,163.1,3.4,6.4,7,50.8
NA,"F",45,312.9,168.7,2.8,5.2,6.7,41
NA,"F",50,344.6,159.6,3.1,6.5,6.8,45.2
NA,"M",10,353.5,162.4,3,7.7,7.4,47.8
NA,"M",17,384,200.9,3.1,7.5,7.9,59.8
NA,"M",19,364.6,172.9,3.2,6.5,8.4,60.6
NA,"M",20,414.3,180.6,2.7,9.6,11,58.6
NA,"M",39,345.4,149.8,3,6.4,7.7,50.4
NA,"M",40,341.2,155.4,3.2,7.2,8,41.4
NA,"M",41,377.2,167.3,3.5,7.6,7.5,46.8
