"Species"	"Neocortex_mm3"	"Area_striata_grey_matter_mm3"	"Corpus_geniculatum_laterale_mm3"	"Total_brain_net_volume_mm3"
"Alouatta seniculus"	31660	1918	87.4	50193.1
"Aotus trivirgatus"	9950	996	32.9	16505.8
"Ateles geoffroyi"	70856	3753	151	104247.1
"Avahi laniger"	4813	458.3	28.7	9597.8
"Callicebus moloch"	11163	1201	54.2	18339.8
"Callithrix jacchus"	4371	566	25.1	7335.9
"Cebuella pygmaea"	2535	363	16.9	4343.6
"Cebus albifrons"	46429	3764	137	68532.8
"Cercopithecus ascanius"	45166	4272	147	64671.8
"Cercopithecus mitus"	49933	4232	150	72393.8
"Cheirogaleus major"	2938	433	21.5	6563.7
"Cheirogaleus medius"	1221	199	10.8	3030.9
"Daubentonia madagascariensis"	22127	1113	58.5	43581.1
"Eulemur fulvus"	12207	1253	51.8	22490.3
"Galago senegalensis"	2139	301	16	4633.2
"Galagoides demidoff"	1568	214	10.9	3262.5
"Gorilla gorilla"	283700	9129	308.5	398648.6
"Homo sapiens"	991000	15247.5	335	1258397.7
"Hylobates lar"	68300	4086.7	166.2	102316.6
"Indri indri"	20114	1648	94.5	36969.1
"Lagothix lagathricha"	65873	4856	164	97490.3
"Lepilemur ruficaudatus"	3282	326	15.6	7335.9
"Lophocebus albigena"	68733	5420	182	100386.1
"Loris tardigradus"	3524	529	24.6	6370.7
"Macaca mulatta"	63482	5343	158	89768.3
"Microcebus murinus"	740	139	7.1	1718.1
"Miopithecus talapoin"	26427	2339	109	38610
"Nycticebus coucang"	6192	696	35.9	12065.6
"Otolemur crassicaudatus"	4723	479	23.2	9942.1
"Pan paniscus"	246700	11606.5	275.1	338803.1
"Pan troglodytes"	264650	8268.3	250.7	319670.7
"Papio anubis"	140142	10001	395	194015.4
"Perodicticus potto"	6683	495	24.3	13513.5
"Procolobus badius"	50906	3053	128	75289.6
"Pithecia monachus"	21028	1679	76.3	33783.8
"Pongo pygmaeus"	269233.3	8233.7	259.1	371299.9
"Propithecus verreauxi"	13170	1106	64.5	25772.2
"Sanguinus midas"	5883	841	36	9942.1
"Sanguinus oedipus"	5894	807	34.2	9652.5
"Saimiri sciureus"	15541	1884	62.9	23166
"Tarsius syrichta"	1768	349	20.8	3474.9
"Varecia variegata"	15293	1745	68.9	30405.4
